"State"	"Customer Lifetime Value"	"Coverage"	"Education"	"EmploymentStatus"	"Gender"	"Income"	"Monthly Premium Auto"	"Months Since Last Claim"	"Months Since Policy Inception"	"Number of Open Complaints"	"Number of Policies"	"Policy Type"	"Total Claim Amount"	"Vehicle Class"	"Vehicle Size"
"1574"	"California"	5830.561364	"Extended"	"College"	"Unemployed"	"F"	0	77	11	36	0	6	"Corporate Auto"	783.431945	"Four-Door Car"	"Medsize"
"1575"	"Oregon"	3849.596697	"Basic"	"High School or Below"	"Unemployed"	"F"	0	106	10	32	0	1	"Personal Auto"	763.2	"Sports Car"	"Medsize"
"1576"	"Arizona"	15265.81488	"Extended"	"High School or Below"	"Employed"	"F"	58361	95	17	16	0	2	"Personal Auto"	43.599861	"Four-Door Car"	"Medsize"
"1577"	"Arizona"	5317.807221	"Basic"	"College"	"Employed"	"M"	74092	67	17	72	0	3	"Personal Auto"	321.6	"Four-Door Car"	"Medsize"
"1578"	"California"	2374.80917	"Basic"	"College"	"Unemployed"	"F"	0	64	2	52	0	1	"Corporate Auto"	380.822087	"Four-Door Car"	"Medsize"
"1579"	"Washington"	5639.941974	"Basic"	"High School or Below"	"Employed"	"M"	73168	70	21	50	0	3	"Personal Auto"	425.800112	"Four-Door Car"	"Medsize"
"1580"	"Washington"	3362.414442	"Extended"	"Bachelor"	"Employed"	"M"	22853	87	16	89	0	1	"Personal Auto"	316.35678	"Four-Door Car"	"Medsize"
"1581"	"Oregon"	4512.204391	"Extended"	"High School or Below"	"Unemployed"	"F"	0	125	6	44	0	1	"Corporate Auto"	900	"SUV"	"Small"
"1582"	"California"	7264.803903	"Extended"	"Bachelor"	"Medical Leave"	"F"	12075	94	16	23	0	5	"Personal Auto"	451.2	"Four-Door Car"	"Medsize"
"1583"	"California"	8658.863813	"Basic"	"College"	"Employed"	"M"	62464	109	23	45	0	4	"Personal Auto"	400.181882	"Sports Car"	"Medsize"
"1584"	"Oregon"	5498.940679	"Basic"	"College"	"Medical Leave"	"M"	22520	73	17	64	0	3	"Personal Auto"	350.4	"Four-Door Car"	"Medsize"
"1585"	"Arizona"	5599.382893	"Basic"	"High School or Below"	"Employed"	"F"	35012	72	0	50	0	6	"Personal Auto"	345.6	"Four-Door Car"	"Medsize"
"1586"	"Arizona"	15228.19865	"Extended"	"College"	"Employed"	"F"	95140	126	6	52	0	2	"Personal Auto"	45.049185	"Sports Car"	"Medsize"
"1587"	"Nevada"	3644.833554	"Extended"	"High School or Below"	"Employed"	"F"	82477	90	1	69	0	1	"Corporate Auto"	432	"Two-Door Car"	"Large"
"1588"	"California"	3693.440833	"Extended"	"Master"	"Employed"	"M"	85871	92	4	25	1	1	"Personal Auto"	112.633539	"Four-Door Car"	"Medsize"
"1589"	"Washington"	8742.05776	"Basic"	"College"	"Employed"	"F"	71592	72	15	18	0	2	"Personal Auto"	141.725051	"Four-Door Car"	"Medsize"
"1590"	"Washington"	5275.626956	"Basic"	"Master"	"Employed"	"F"	70446	65	31	99	0	9	"Personal Auto"	155.570802	"Four-Door Car"	"Medsize"
"1591"	"Oregon"	2551.226692	"Basic"	"Master"	"Employed"	"M"	79751	63	15	67	0	1	"Corporate Auto"	392.235698	"Two-Door Car"	"Small"
"1592"	"Nevada"	5811.918112	"Basic"	"High School or Below"	"Employed"	"M"	83318	72	21	58	0	3	"Corporate Auto"	345.6	"Four-Door Car"	"Medsize"
"1593"	"Oregon"	4064.670639	"Basic"	"Master"	"Retired"	"F"	26161	109	8	70	0	1	"Personal Auto"	594.444586	"Sports Car"	"Large"
"1594"	"California"	2841.443088	"Basic"	"Bachelor"	"Employed"	"F"	30473	72	20	35	0	1	"Corporate Auto"	450.080101	"Four-Door Car"	"Medsize"
"1595"	"Nevada"	6832.133872	"Extended"	"College"	"Employed"	"M"	50472	87	6	67	0	3	"Corporate Auto"	281.163705	"Four-Door Car"	"Medsize"
"1596"	"Nevada"	5201.971427	"Basic"	"Master"	"Employed"	"M"	94186	64	20	50	0	3	"Personal Auto"	135.340489	"Four-Door Car"	"Medsize"
"1597"	"Arizona"	5484.588155	"Basic"	"High School or Below"	"Employed"	"M"	47611	69	17	65	0	4	"Corporate Auto"	593.654484	"Four-Door Car"	"Small"
"1598"	"California"	7672.681366	"Premium"	"High School or Below"	"Unemployed"	"M"	0	103	17	56	0	4	"Personal Auto"	518.720216	"Four-Door Car"	"Medsize"
"1599"	"Oregon"	8272.485353	"Basic"	"High School or Below"	"Employed"	"M"	91245	69	16	50	0	2	"Corporate Auto"	19.251693	"Four-Door Car"	"Small"
"1600"	"Arizona"	3330.672761	"Extended"	"High School or Below"	"Employed"	"F"	45944	83	20	4	0	1	"Personal Auto"	182.948495	"Two-Door Car"	"Medsize"
"1601"	"California"	5562.456386	"Basic"	"College"	"Employed"	"F"	59649	69	33	71	1	8	"Personal Auto"	167.738267	"Four-Door Car"	"Medsize"
"1602"	"Oregon"	2452.738575	"Basic"	"Bachelor"	"Employed"	"F"	52785	61	2	90	0	1	"Corporate Auto"	45.721456	"Two-Door Car"	"Medsize"
"1603"	"Oregon"	7920.28288	"Basic"	"High School or Below"	"Employed"	"F"	59648	66	20	72	0	2	"Personal Auto"	316.8	"Four-Door Car"	"Medsize"
"1604"	"Oregon"	3861.486269	"Extended"	"College"	"Employed"	"F"	93272	95	3	54	0	1	"Corporate Auto"	281.110788	"Four-Door Car"	"Medsize"
"1605"	"Arizona"	5764.784159	"Basic"	"Bachelor"	"Employed"	"M"	22134	72	13	81	0	3	"Corporate Auto"	445.879224	"Four-Door Car"	"Medsize"
"1606"	"Washington"	5375.842787	"Basic"	"College"	"Employed"	"F"	69050	67	17	38	0	3	"Personal Auto"	334.892437	"Four-Door Car"	"Large"
"1607"	"Arizona"	2882.350556	"Basic"	"Master"	"Employed"	"M"	87798	71	18	73	0	1	"Personal Auto"	204.448708	"Two-Door Car"	"Medsize"
"1608"	"California"	2213.187935	"Basic"	"Bachelor"	"Unemployed"	"M"	0	63	0	66	0	1	"Personal Auto"	305.552429	"Four-Door Car"	"Small"
"1609"	"California"	9429.629367	"Basic"	"Master"	"Employed"	"F"	43811	117	24	10	0	4	"Personal Auto"	571.136574	"Sports Car"	"Small"
"1610"	"California"	6239.257541	"Extended"	"College"	"Unemployed"	"F"	0	91	25	63	0	3	"Corporate Auto"	655.2	"Two-Door Car"	"Medsize"
"1611"	"Nevada"	7668.809595	"Extended"	"Bachelor"	"Employed"	"F"	92456	95	8	3	0	4	"Special Auto"	456	"Four-Door Car"	"Medsize"
"1612"	"California"	13770.97618	"Premium"	"High School or Below"	"Employed"	"F"	59207	116	23	21	0	2	"Personal Auto"	556.8	"Four-Door Car"	"Medsize"
"1613"	"California"	2742.844251	"Basic"	"High School or Below"	"Employed"	"F"	64519	69	6	29	1	1	"Corporate Auto"	331.2	"Four-Door Car"	"Medsize"
"1614"	"Oregon"	13466.92071	"Basic"	"High School or Below"	"Disabled"	"F"	11432	119	11	9	0	2	"Personal Auto"	571.2	"SUV"	"Small"
"1615"	"Nevada"	8858.352032	"Extended"	"College"	"Unemployed"	"F"	0	80	6	28	0	2	"Personal Auto"	81.255741	"Two-Door Car"	"Large"
"1616"	"California"	8485.330004	"Basic"	"High School or Below"	"Employed"	"M"	32607	111	27	79	1	8	"Corporate Auto"	532.8	"SUV"	"Medsize"
"1617"	"Oregon"	5894.907375	"Basic"	"High School or Below"	"Employed"	"F"	39381	74	6	55	1	7	"Personal Auto"	355.2	"Four-Door Car"	"Small"
"1618"	"Oregon"	5261.117506	"Basic"	"High School or Below"	"Employed"	"M"	90217	66	14	88	1	5	"Personal Auto"	316.8	"Four-Door Car"	"Small"
"1619"	"Oregon"	2403.53947	"Basic"	"High School or Below"	"Disabled"	"M"	24248	70	33	82	3	1	"Personal Auto"	336	"Four-Door Car"	"Medsize"
"1620"	"Arizona"	9124.600015	"Premium"	"Bachelor"	"Employed"	"M"	99368	113	34	6	0	3	"Personal Auto"	82.427785	"Four-Door Car"	"Medsize"
"1621"	"Arizona"	26180.80528	"Extended"	"High School or Below"	"Employed"	"F"	68189	82	10	17	1	2	"Special Auto"	343.121192	"Four-Door Car"	"Medsize"
"1622"	"Nevada"	15641.25856	"Extended"	"Master"	"Employed"	"F"	32370	130	31	84	0	2	"Corporate Auto"	487.736171	"SUV"	"Medsize"
"1623"	"Arizona"	2574.020376	"Basic"	"Master"	"Employed"	"F"	34990	65	23	73	0	1	"Personal Auto"	42.689135	"Four-Door Car"	"Medsize"
"1624"	"California"	5319.838729	"Basic"	"High School or Below"	"Employed"	"F"	25714	67	17	57	0	5	"Personal Auto"	321.6	"Two-Door Car"	"Small"
"1625"	"Oregon"	7496.006588	"Extended"	"College"	"Employed"	"M"	61091	95	17	64	0	8	"Personal Auto"	409.868003	"Two-Door Car"	"Medsize"
"1626"	"Arizona"	12174.58958	"Premium"	"College"	"Employed"	"M"	88184	104	5	97	3	2	"Personal Auto"	240.176533	"Four-Door Car"	"Medsize"
"1627"	"California"	2605.570828	"Basic"	"College"	"Employed"	"F"	60252	65	10	8	0	1	"Personal Auto"	182.436205	"Four-Door Car"	"Medsize"
"1628"	"Oregon"	2707.20846	"Basic"	"College"	"Employed"	"M"	80985	67	0	52	0	1	"Personal Auto"	124.933587	"Four-Door Car"	"Medsize"
"1629"	"Washington"	5528.212807	"Basic"	"Bachelor"	"Employed"	"M"	36088	72	16	31	0	9	"Personal Auto"	345.6	"Four-Door Car"	"Medsize"
"1630"	"California"	8819.018934	"Basic"	"High School or Below"	"Employed"	"M"	99845	110	23	25	1	8	"Personal Auto"	528	"SUV"	"Medsize"
"1631"	"Washington"	19014.47625	"Basic"	"High School or Below"	"Employed"	"F"	29822	61	17	44	0	2	"Personal Auto"	292.8	"Two-Door Car"	"Medsize"
"1632"	"Oregon"	8169.513982	"Basic"	"College"	"Employed"	"F"	40803	71	8	19	3	2	"Personal Auto"	122.912377	"Four-Door Car"	"Medsize"
"1633"	"Oregon"	7708.883885	"Extended"	"College"	"Employed"	"F"	71134	98	21	95	3	8	"Personal Auto"	196.37368	"Two-Door Car"	"Medsize"
"1634"	"Arizona"	5528.212807	"Basic"	"Bachelor"	"Employed"	"M"	36088	72	16	31	0	9	"Personal Auto"	345.6	"Four-Door Car"	"Medsize"
"1635"	"Nevada"	12128.4467	"Basic"	"College"	"Employed"	"M"	29431	103	29	35	0	2	"Personal Auto"	237.896227	"SUV"	"Medsize"
"1636"	"Washington"	9080.28284	"Basic"	"High School or Below"	"Employed"	"M"	68073	114	16	63	0	8	"Personal Auto"	547.2	"SUV"	"Medsize"
"1637"	"Oregon"	6796.844769	"Basic"	"College"	"Medical Leave"	"M"	17937	65	1	27	0	2	"Personal Auto"	312	"Two-Door Car"	"Medsize"
"1638"	"Arizona"	2867.312197	"Extended"	"Bachelor"	"Retired"	"F"	23376	78	19	18	0	1	"Personal Auto"	374.4	"Four-Door Car"	"Medsize"
"1639"	"California"	2395.57	"Basic"	"Doctor"	"Disabled"	"F"	21986	63	1	9	0	1	"Personal Auto"	333.696228	"Two-Door Car"	"Medsize"
"1640"	"Arizona"	7094.167717	"Extended"	"Bachelor"	"Employed"	"F"	23032	89	30	22	0	7	"Corporate Auto"	427.2	"Four-Door Car"	"Medsize"
"1641"	"Oregon"	4128.091334	"Basic"	"College"	"Employed"	"F"	32114	104	22	50	0	1	"Corporate Auto"	445.29049	"SUV"	"Medsize"
"1642"	"California"	4046.936065	"Basic"	"Bachelor"	"Disabled"	"M"	13330	117	33	74	0	1	"Corporate Auto"	561.6	"SUV"	"Medsize"
"1643"	"California"	4869.282783	"Basic"	"College"	"Employed"	"F"	44934	61	9	60	0	4	"Personal Auto"	357.926979	"Four-Door Car"	"Medsize"
"1644"	"Oregon"	2902.151897	"Basic"	"College"	"Employed"	"F"	96137	73	17	34	2	1	"Corporate Auto"	67.490616	"Two-Door Car"	"Medsize"
"1645"	"Oregon"	4282.947971	"Basic"	"College"	"Employed"	"F"	40864	109	16	70	1	1	"Personal Auto"	166.937747	"SUV"	"Medsize"
"1646"	"California"	7750.120323	"Basic"	"College"	"Employed"	"F"	22668	67	5	34	1	2	"Personal Auto"	33.718553	"Four-Door Car"	"Medsize"
"1647"	"Oregon"	6627.174629	"Extended"	"College"	"Employed"	"M"	90751	82	2	22	1	8	"Personal Auto"	315.826382	"Two-Door Car"	"Medsize"
"1648"	"Oregon"	7474.605769	"Basic"	"College"	"Employed"	"M"	44186	64	9	96	2	2	"Personal Auto"	295.04969	"Four-Door Car"	"Medsize"
"1649"	"Oregon"	5561.291397	"Basic"	"College"	"Employed"	"M"	92678	70	0	67	0	3	"Personal Auto"	34.689611	"Four-Door Car"	"Small"
"1650"	"Arizona"	6098.462114	"Extended"	"Bachelor"	"Employed"	"F"	74257	76	16	91	0	3	"Personal Auto"	214.586742	"Four-Door Car"	"Large"
"1651"	"California"	2859.52893	"Basic"	"Bachelor"	"Employed"	"M"	99981	71	2	22	0	1	"Special Auto"	204.872273	"Four-Door Car"	"Small"
"1652"	"Arizona"	5994.424627	"Extended"	"College"	"Unemployed"	"M"	0	91	26	89	0	6	"Personal Auto"	655.2	"Four-Door Car"	"Small"
"1653"	"Arizona"	5635.249486	"Basic"	"College"	"Medical Leave"	"F"	19591	74	8	79	0	4	"Personal Auto"	95.925021	"Two-Door Car"	"Medsize"
"1654"	"California"	5067.208338	"Extended"	"College"	"Employed"	"F"	29095	127	2	80	0	1	"Personal Auto"	664.280864	"SUV"	"Medsize"
"1655"	"Oregon"	2263.284608	"Basic"	"Bachelor"	"Unemployed"	"F"	0	62	25	15	0	1	"Corporate Auto"	389.750793	"Four-Door Car"	"Medsize"
"1656"	"Arizona"	14435.67365	"Premium"	"Master"	"Employed"	"M"	60880	119	25	89	0	2	"Corporate Auto"	109.906628	"Two-Door Car"	"Medsize"
"1657"	"Arizona"	4928.397077	"Basic"	"Bachelor"	"Employed"	"F"	61785	61	31	47	0	5	"Personal Auto"	271.10697	"Two-Door Car"	"Large"
"1658"	"Oregon"	12036.62051	"Basic"	"Bachelor"	"Employed"	"M"	44428	104	17	61	0	2	"Special Auto"	499.2	"SUV"	"Medsize"
"1659"	"California"	8564.768226	"Basic"	"High School or Below"	"Employed"	"M"	95697	107	29	29	0	9	"Personal Auto"	178.006524	"Sports Car"	"Medsize"
"1660"	"California"	2361.883909	"Basic"	"Bachelor"	"Medical Leave"	"F"	18064	63	10	45	2	1	"Personal Auto"	182.964184	"Four-Door Car"	"Medsize"
"1661"	"California"	5565.693282	"Basic"	"High School or Below"	"Employed"	"M"	74720	70	15	99	0	3	"Personal Auto"	200.812425	"Two-Door Car"	"Medsize"
"1662"	"California"	5146.80976	"Basic"	"Bachelor"	"Disabled"	"F"	22594	67	22	41	0	3	"Personal Auto"	321.6	"Four-Door Car"	"Medsize"
"1663"	"Arizona"	2938.080327	"Basic"	"Bachelor"	"Employed"	"F"	40987	73	6	15	0	1	"Personal Auto"	329.013275	"Four-Door Car"	"Medsize"
"1664"	"Nevada"	14432.74644	"Extended"	"High School or Below"	"Disabled"	"M"	24561	126	1	31	0	2	"Personal Auto"	853.473552	"SUV"	"Small"
"1665"	"California"	13027.41984	"Extended"	"College"	"Employed"	"F"	76456	83	27	34	1	2	"Personal Auto"	42.693918	"Four-Door Car"	"Medsize"
"1666"	"California"	2451.988783	"Basic"	"College"	"Employed"	"M"	65828	62	22	3	0	1	"Personal Auto"	297.6	"Four-Door Car"	"Small"
"1667"	"Oregon"	4661.984144	"Basic"	"College"	"Unemployed"	"F"	0	68	0	48	1	5	"Personal Auto"	489.6	"Four-Door Car"	"Medsize"
"1668"	"Arizona"	5600.010179	"Basic"	"Bachelor"	"Employed"	"F"	63621	70	8	48	0	5	"Personal Auto"	444.620265	"Four-Door Car"	"Medsize"
"1669"	"Arizona"	4016.132772	"Basic"	"College"	"Medical Leave"	"M"	10074	107	33	42	0	1	"Corporate Auto"	108.995934	"SUV"	"Medsize"
"1670"	"Oregon"	22195.80299	"Basic"	"College"	"Employed"	"F"	78965	183	3	78	0	2	"Personal Auto"	145.587985	"Luxury Car"	"Medsize"
"1671"	"Nevada"	7343.353716	"Basic"	"College"	"Unemployed"	"F"	0	68	16	57	0	2	"Personal Auto"	479.028818	"Four-Door Car"	"Medsize"
"1672"	"Arizona"	4804.514274	"Basic"	"Bachelor"	"Disabled"	"M"	23604	64	4	86	0	8	"Corporate Auto"	460.8	"Two-Door Car"	"Medsize"
"1673"	"Oregon"	2735.538859	"Basic"	"College"	"Employed"	"F"	99205	68	7	21	0	1	"Personal Auto"	323.246017	"Two-Door Car"	"Medsize"
"1674"	"Arizona"	6940.972823	"Extended"	"College"	"Unemployed"	"M"	0	92	4	60	0	3	"Personal Auto"	441.6	"Two-Door Car"	"Medsize"
"1675"	"California"	2396.219292	"Basic"	"Bachelor"	"Unemployed"	"F"	0	66	6	71	2	1	"Corporate Auto"	433.160284	"Four-Door Car"	"Large"
"1676"	"Nevada"	5380.898636	"Basic"	"College"	"Employed"	"F"	55350	67	0	13	0	9	"Personal Auto"	321.6	"Four-Door Car"	"Medsize"
"1677"	"Oregon"	8432.815731	"Basic"	"College"	"Disabled"	"M"	21052	111	12	55	0	5	"Corporate Auto"	453.578343	"SUV"	"Medsize"
"1678"	"Oregon"	7556.507482	"Basic"	"High School or Below"	"Unemployed"	"F"	0	69	5	64	0	2	"Personal Auto"	496.8	"Four-Door Car"	"Medsize"
"1679"	"Arizona"	7787.431684	"Basic"	"High School or Below"	"Medical Leave"	"M"	24664	69	12	15	0	2	"Corporate Auto"	496.8	"Four-Door Car"	"Medsize"
"1680"	"Nevada"	4787.812897	"Extended"	"College"	"Employed"	"M"	45225	124	15	83	0	1	"Corporate Auto"	209.176923	"Sports Car"	"Small"
"1681"	"California"	9707.647552	"Extended"	"College"	"Employed"	"M"	30430	86	6	77	0	2	"Special Auto"	425.662574	"Four-Door Car"	"Small"
"1682"	"California"	2552.226197	"Basic"	"Bachelor"	"Employed"	"F"	35149	64	26	33	0	1	"Personal Auto"	120.477298	"Two-Door Car"	"Medsize"
"1683"	"California"	5223.429265	"Basic"	"Bachelor"	"Medical Leave"	"M"	16513	71	23	37	0	6	"Personal Auto"	340.8	"Four-Door Car"	"Medsize"
"1684"	"Nevada"	5010.44933	"Basic"	"High School or Below"	"Disabled"	"M"	10892	66	16	9	0	3	"Personal Auto"	316.8	"Four-Door Car"	"Medsize"
"1685"	"Washington"	5597.12496	"Extended"	"High School or Below"	"Employed"	"F"	37995	139	16	50	0	1	"Personal Auto"	667.2	"SUV"	"Medsize"
"1686"	"Oregon"	4457.936252	"Basic"	"College"	"Employed"	"M"	54704	113	6	75	0	1	"Personal Auto"	468.176056	"SUV"	"Medsize"
"1687"	"Oregon"	8200.78728	"Basic"	"Doctor"	"Employed"	"M"	25381	71	22	62	0	2	"Personal Auto"	340.8	"Four-Door Car"	"Medsize"
"1688"	"Oregon"	2746.080105	"Basic"	"High School or Below"	"Unemployed"	"F"	0	74	5	75	0	1	"Personal Auto"	355.2	"Four-Door Car"	"Medsize"
"1689"	"Oregon"	10215.77915	"Basic"	"Bachelor"	"Disabled"	"F"	18150	67	17	34	0	2	"Corporate Auto"	220.304649	"Four-Door Car"	"Medsize"
"1690"	"California"	2453.570794	"Basic"	"Bachelor"	"Medical Leave"	"M"	29735	69	3	92	0	1	"Personal Auto"	331.2	"Four-Door Car"	"Medsize"
"1691"	"Nevada"	5872.958817	"Basic"	"College"	"Employed"	"F"	77156	73	30	39	0	7	"Personal Auto"	445.817914	"Four-Door Car"	"Small"
"1692"	"Oregon"	3118.927949	"Extended"	"College"	"Employed"	"F"	88782	78	6	38	0	1	"Personal Auto"	357.757645	"Four-Door Car"	"Large"
"1693"	"California"	5568.656492	"Extended"	"College"	"Employed"	"F"	51489	139	14	10	0	1	"Personal Auto"	236.739322	"SUV"	"Medsize"
"1694"	"California"	9029.71466	"Extended"	"Bachelor"	"Retired"	"F"	16972	125	17	89	0	5	"Personal Auto"	600	"SUV"	"Large"
"1695"	"California"	7591.827171	"Extended"	"Bachelor"	"Employed"	"M"	99359	95	16	19	0	9	"Personal Auto"	233.265397	"Two-Door Car"	"Medsize"
"1696"	"Arizona"	2255.312942	"Basic"	"College"	"Employed"	"M"	58289	62	18	92	4	1	"Personal Auto"	297.6	"Two-Door Car"	"Medsize"
"1697"	"California"	9445.649461	"Extended"	"Bachelor"	"Employed"	"F"	93246	78	31	24	0	2	"Personal Auto"	41.628869	"Two-Door Car"	"Medsize"
"1698"	"Oregon"	9766.217126	"Extended"	"Bachelor"	"Employed"	"M"	75651	81	23	60	0	2	"Personal Auto"	375.11129	"Four-Door Car"	"Large"
"1699"	"Arizona"	7294.846132	"Basic"	"Doctor"	"Unemployed"	"F"	0	67	13	91	0	2	"Personal Auto"	321.6	"Four-Door Car"	"Medsize"
"1700"	"Oregon"	5682.515346	"Basic"	"Doctor"	"Employed"	"F"	36938	70	32	31	0	3	"Special Auto"	244.801119	"Four-Door Car"	"Medsize"
"1701"	"California"	6332.941818	"Extended"	"Bachelor"	"Employed"	"M"	50843	82	12	65	0	3	"Personal Auto"	393.6	"Two-Door Car"	"Small"
"1702"	"California"	4916.577034	"Basic"	"Bachelor"	"Employed"	"F"	21907	62	6	47	0	3	"Personal Auto"	2.96438	"Four-Door Car"	"Medsize"
"1703"	"California"	4798.240889	"Basic"	"Bachelor"	"Employed"	"F"	77846	119	8	45	0	1	"Personal Auto"	342.471939	"Sports Car"	"Medsize"
"1704"	"Washington"	10408.96865	"Basic"	"High School or Below"	"Retired"	"M"	20228	101	3	43	1	2	"Personal Auto"	523.815839	"SUV"	"Medsize"
"1705"	"Arizona"	9247.464417	"Extended"	"High School or Below"	"Employed"	"F"	97030	76	14	24	0	2	"Corporate Auto"	416.637499	"Four-Door Car"	"Small"
"1706"	"Oregon"	7322.92885	"Basic"	"High School or Below"	"Employed"	"M"	80864	182	5	30	0	1	"Personal Auto"	618.210272	"Luxury SUV"	"Medsize"
"1707"	"Nevada"	8275.900104	"Premium"	"College"	"Employed"	"F"	48197	106	10	61	0	6	"Personal Auto"	508.8	"Four-Door Car"	"Medsize"
"1708"	"California"	5635.403677	"Basic"	"Doctor"	"Employed"	"M"	70837	73	7	19	4	3	"Personal Auto"	362.743231	"Four-Door Car"	"Small"
"1709"	"Arizona"	14970.28509	"Extended"	"High School or Below"	"Employed"	"M"	85297	93	7	91	0	2	"Special Auto"	620.011594	"Two-Door Car"	"Small"
"1710"	"Oregon"	9336.336922	"Premium"	"Master"	"Employed"	"F"	70177	115	12	34	0	8	"Personal Auto"	225.517666	"Four-Door Car"	"Medsize"
"1711"	"Oregon"	5686.915259	"Basic"	"College"	"Employed"	"M"	63143	71	31	85	0	3	"Corporate Auto"	340.8	"Four-Door Car"	"Medsize"
"1712"	"Oregon"	8622.835375	"Basic"	"Bachelor"	"Employed"	"M"	97361	73	6	85	0	2	"Personal Auto"	350.4	"Four-Door Car"	"Medsize"
"1713"	"Nevada"	5079.674786	"Extended"	"High School or Below"	"Employed"	"M"	50052	130	6	50	0	1	"Personal Auto"	624	"Sports Car"	"Small"
"1714"	"Arizona"	5623.314472	"Basic"	"Bachelor"	"Disabled"	"F"	11612	71	20	92	0	5	"Personal Auto"	340.8	"Four-Door Car"	"Medsize"
"1715"	"Arizona"	5270.013569	"Basic"	"High School or Below"	"Employed"	"F"	78115	65	1	12	0	4	"Personal Auto"	255.454322	"Four-Door Car"	"Small"
"1716"	"California"	8621.172176	"Basic"	"Master"	"Employed"	"F"	81947	71	12	78	0	2	"Personal Auto"	203.993499	"Two-Door Car"	"Medsize"
"1717"	"California"	21034.01815	"Basic"	"High School or Below"	"Employed"	"F"	26876	66	12	53	0	2	"Personal Auto"	219.209762	"Four-Door Car"	"Medsize"
"1718"	"Oregon"	15417.6822	"Basic"	"College"	"Employed"	"F"	69841	192	0	66	0	7	"Personal Auto"	878.812468	"Luxury SUV"	"Medsize"
"1719"	"Oregon"	8692.636838	"Basic"	"High School or Below"	"Employed"	"F"	97768	72	22	14	0	2	"Personal Auto"	151.843731	"Two-Door Car"	"Medsize"
"1720"	"Washington"	31642.10463	"Extended"	"College"	"Employed"	"M"	89057	98	17	90	0	2	"Corporate Auto"	187.363583	"Two-Door Car"	"Medsize"
"1721"	"Oregon"	5914.951808	"Basic"	"Bachelor"	"Employed"	"F"	50217	74	18	2	0	9	"Personal Auto"	355.2	"Two-Door Car"	"Medsize"
"1722"	"Washington"	4645.839058	"Basic"	"College"	"Unemployed"	"M"	0	71	3	33	0	3	"Personal Auto"	697.186307	"Two-Door Car"	"Large"
"1723"	"Nevada"	6826.797741	"Basic"	"College"	"Unemployed"	"M"	0	68	13	26	0	2	"Personal Auto"	489.6	"Two-Door Car"	"Small"
"1724"	"Oregon"	3982.180708	"Extended"	"Doctor"	"Employed"	"F"	38500	99	26	49	1	1	"Corporate Auto"	423.286512	"Four-Door Car"	"Large"
"1725"	"Nevada"	2887.779742	"Basic"	"High School or Below"	"Employed"	"F"	62018	71	21	0	0	1	"Personal Auto"	293.865315	"Two-Door Car"	"Medsize"
"1726"	"Oregon"	2252.416825	"Basic"	"College"	"Unemployed"	"F"	0	65	13	84	0	1	"Personal Auto"	468	"Two-Door Car"	"Medsize"
"1727"	"California"	8458.531323	"Premium"	"Master"	"Employed"	"M"	57394	106	8	11	0	3	"Personal Auto"	316.492058	"Four-Door Car"	"Medsize"
"1728"	"California"	7478.313695	"Basic"	"Bachelor"	"Employed"	"M"	23530	65	22	34	0	2	"Corporate Auto"	312	"Two-Door Car"	"Medsize"
"1729"	"California"	3788.649817	"Extended"	"High School or Below"	"Employed"	"F"	48887	95	26	25	0	1	"Personal Auto"	456	"Four-Door Car"	"Medsize"
"1730"	"Oregon"	5220.685297	"Extended"	"Master"	"Employed"	"F"	68867	129	19	91	0	1	"Personal Auto"	619.2	"SUV"	"Medsize"
"1731"	"California"	7130.294828	"Basic"	"College"	"Disabled"	"F"	12062	63	3	42	0	2	"Corporate Auto"	302.4	"Four-Door Car"	"Medsize"
"1732"	"Arizona"	8513.592687	"Basic"	"College"	"Employed"	"M"	59230	107	11	56	0	5	"Personal Auto"	245.076091	"SUV"	"Medsize"
"1733"	"Arizona"	5660.133806	"Basic"	"Bachelor"	"Employed"	"F"	59586	72	6	70	0	3	"Personal Auto"	91.198362	"Four-Door Car"	"Medsize"
"1734"	"Washington"	4082.170583	"Basic"	"High School or Below"	"Employed"	"M"	57506	102	24	43	0	1	"Personal Auto"	615.243841	"Sports Car"	"Small"
"1735"	"Arizona"	5318.89664	"Basic"	"Bachelor"	"Employed"	"F"	25134	67	3	0	0	6	"Personal Auto"	321.6	"Four-Door Car"	"Small"
"1736"	"Oregon"	4160.162571	"Basic"	"College"	"Unemployed"	"F"	0	61	3	58	0	5	"Personal Auto"	292.8	"Four-Door Car"	"Large"
"1737"	"Oregon"	2237.347771	"Basic"	"College"	"Unemployed"	"F"	0	61	19	44	0	1	"Personal Auto"	292.8	"Four-Door Car"	"Small"
"1738"	"California"	3460.12299	"Basic"	"College"	"Unemployed"	"M"	0	100	15	96	1	1	"Personal Auto"	720	"SUV"	"Medsize"
"1739"	"California"	16005.50507	"Basic"	"Bachelor"	"Employed"	"M"	44901	70	15	56	2	2	"Personal Auto"	460.806124	"Four-Door Car"	"Small"
"1740"	"Arizona"	6986.603722	"Extended"	"Bachelor"	"Unemployed"	"F"	0	93	21	8	0	3	"Personal Auto"	149.269407	"Four-Door Car"	"Medsize"
"1741"	"Oregon"	8826.961501	"Basic"	"Bachelor"	"Employed"	"F"	28463	113	0	45	2	7	"Personal Auto"	324.317667	"SUV"	"Medsize"
